AATSC1v,MATS7v,SpMax4_Bhe,khs.tsC,GATS5c,nHBint3,SHdNH,SHBint7,nFRing,WTPT-4,WTPT-2,ETA_Eta,AATSC1m,Class
0.9866,-0.0006,3.8599,0,1.1829,0,0.0,0.0,0,0.0,0.0,37.576,1.0943,NonToxic
0.0795,-0.0789,3.8289,0,1.0809,0,0.0,0.0,2,8.866,2.1204,30.687,2.059,NonToxic
0.688,-0.2021,3.7322,2,1.6146,0,0.0,0.0,6,5.2267,2.085,33.4316,0.7585,NonToxic
1.8164,-0.257,3.7323,2,1.4148,0,0.0,7.9814,6,7.7896,2.0797,35.2678,0.2592,NonToxic
1.1654,-0.0467,3.8687,0,1.0794,0,0.0,0.0,13,12.324,2.1092,34.2891,2.183,NonToxic
3.0944,-0.0264,3.7377,0,1.3562,0,0.0,0.0,6,15.6022,2.085,32.8984,0.4875,NonToxic
1.2845,-0.0639,3.9077,0,1.4138,0,0.0,0.0,4,13.0472,2.1062,33.2636,1.2705,NonToxic
1.6557,-0.0119,3.7536,0,1.1364,0,0.0,0.0,4,5.8514,2.119,26.7235,2.1382,NonToxic
2.2018,0.0286,3.6695,0,1.2414,0,0.0,0.0,4,11.4702,2.1143,18.6822,1.0411,NonToxic
1.4617,-0.1,3.739,0,1.2455,0,0.0,0.0,2,12.8973,2.0821,29.5425,1.3918,NonToxic
-0.6507,-0.1456,3.7834,0,1.0913,0,0.0,0.0,2,13.598,2.0771,27.4942,1.6204,NonToxic
-0.0724,-0.006,3.806,0,1.4093,0,0.0,0.0,7,3.2541,2.1374,29.8887,2.6006,NonToxic
0.9779,-0.0613,3.8148,0,1.3406,0,0.0,0.0,1,0.0,2.1141,20.5839,2.1375,NonToxic
0.6964,-0.0696,3.7247,0,1.1314,0,0.0,0.0,2,8.2975,2.0987,29.5205,3.2688,NonToxic
1.217,0.1689,3.7042,0,0.6162,0,0.0,0.0,3,10.1602,2.0988,30.4341,1.4786,NonToxic
3.5291,0.141,3.623,0,1.408,0,0.0,0.0,6,2.5728,2.1192,27.0401,1.488,NonToxic
1.8096,0.0121,3.8471,0,1.4922,1,0.0,4.9166,6,7.8241,2.0899,38.6182,1.0752,NonToxic
8.8355,-0.1512,3.6364,0,1.0356,0,0.0,22.9015,140,20.7804,2.1148,36.3157,-2.4513,NonToxic
1.1503,0.1358,3.8795,0,1.128,0,0.0,0.0,1,10.0416,2.08,38.1567,2.7417,NonToxic
3.6012,-0.0856,3.7088,2,1.3092,0,0.0,0.0,7,2.6097,2.1144,37.8099,1.5916,NonToxic
-0.4209,0.0427,3.8394,0,0.9606,0,0.0,0.0,10,8.7879,2.132,41.2901,2.7429,NonToxic
1.9102,-0.1338,3.8238,0,1.3949,0,0.0,0.0,2,5.7866,2.0898,27.9864,1.5716,NonToxic
1.7875,-0.0334,3.6431,0,1.1693,0,0.0,0.0,46,5.2657,2.1661,23.1095,1.5197,NonToxic
1.6992,-0.1812,3.7694,0,1.2029,0,0.0,8.3487,2,10.0563,2.0901,24.5632,0.7231,NonToxic
0.9005,-0.0754,3.7044,0,1.168,0,0.0,0.0,4,12.8228,2.0752,40.8578,7.7897,NonToxic
0.1899,0.0201,3.7805,0,1.1369,0,0.0,0.3059,7,10.7977,2.0817,43.6674,2.3373,NonToxic
1.3629,0.0019,3.8259,0,1.1557,0,0.0,0.0,2,16.5037,2.087,27.3893,0.845,NonToxic
1.7506,0.0293,3.606,0,1.3352,0,0.0,0.0,17,10.4827,2.1348,26.8861,1.1349,NonToxic
1.251,-0.0548,3.8263,0,1.0807,0,0.0,0.0,13,7.4842,2.124,31.9194,2.2231,NonToxic
1.9974,-0.0295,3.7271,0,1.2976,0,0.0,0.0,6,10.4477,2.0968,30.1587,0.2661,NonToxic
0.3386,-0.1789,3.593,0,1.3851,0,0.0,0.0,4,14.5635,2.1065,26.2813,2.1432,NonToxic
0.1158,-0.1369,3.77,0,0.9684,0,0.0,0.0,6,0.0,2.1336,38.9702,3.1538,NonToxic
0.8696,-0.0905,3.8341,0,0.8734,0,0.0,0.0,13,7.8982,2.1221,34.3138,2.1754,NonToxic
0.0641,0.0274,3.8294,0,1.1888,0,0.0,0.0,9,2.623,2.1225,36.7243,2.5568,NonToxic
2.1177,-0.0397,3.8668,0,1.1486,0,0.0,0.0,5,14.0232,2.108,45.2109,2.0233,NonToxic
1.4836,-0.0348,3.6862,0,1.2868,0,0.0,5.8897,2,12.9908,2.0799,26.1635,1.0554,NonToxic
0.0917,-0.0086,3.774,0,1.1786,0,0.0,0.0,1,10.0796,2.0745,34.5856,2.343,NonToxic
0.475,0.0554,3.7821,0,1.1905,0,0.0,0.0,7,19.7339,2.1071,40.5041,2.0656,NonToxic
1.5173,-0.0613,3.7665,0,1.0168,0,0.4292,6.1495,2,2.581,2.0824,30.0568,2.3265,NonToxic
0.5869,-0.042,3.5204,0,1.3444,0,0.0,0.0,3,10.9197,2.107,21.1365,1.4034,NonToxic
3.0944,-0.0983,3.739,0,1.2798,0,0.0,14.3869,6,15.5993,2.085,32.5032,0.4875,NonToxic
1.4569,-0.1255,3.7285,0,0.9205,2,0.0,0.0,10,8.4689,2.0864,42.9633,1.5095,NonToxic
1.4684,-0.013,3.6756,0,1.1005,0,0.0,0.0,12,8.1219,2.0932,27.6798,1.7,NonToxic
1.0551,-0.0502,3.6482,0,1.5693,0,0.0,0.0,5,10.4668,2.1132,25.7011,1.3455,NonToxic
1.4074,-0.0041,3.7802,0,1.4139,0,0.0,0.0,7,7.8768,2.1103,31.8435,1.436,NonToxic
-0.2037,-0.0214,3.8305,0,1.1903,0,0.0,0.0,1,8.8929,2.1016,35.1665,2.5735,NonToxic
-0.3525,-0.0968,3.7248,0,1.1739,0,0.0,0.0,2,5.6134,2.1073,38.4365,2.9864,NonToxic
-0.0765,-0.099,3.7146,0,1.2097,0,0.0,0.0,2,2.6007,2.0891,34.1048,2.4248,NonToxic
2.5745,-0.1044,3.8269,0,0.6296,0,0.0,0.0,6,0.0,2.1479,46.5384,3.2966,NonToxic
2.3456,-0.0893,3.8659,0,1.2836,0,0.0,0.0,9,7.4771,2.1236,37.3089,2.6655,NonToxic
1.4911,0.0436,3.7842,0,1.1111,0,0.0,0.0,4,10.2761,2.0794,32.1976,6.7752,NonToxic
1.1346,0.0776,3.7562,0,1.2211,0,0.0,0.0,4,7.6021,2.086,30.1186,8.6348,NonToxic
0.6404,-0.0826,3.7935,0,1.3349,0,0.0,0.0,8,0.0,2.1547,32.1619,3.5234,NonToxic
1.6553,0.0702,3.7909,0,0.8701,0,0.0,0.0,3,11.3438,2.1171,39.7689,2.4292,NonToxic
0.2297,0.0887,3.7044,0,0.8633,0,0.0,7.4643,3,5.1995,2.0884,28.9387,2.1243,NonToxic
2.1947,0.0444,3.7831,0,0.9111,0,0.0,0.0,2,5.1628,2.0937,39.1182,1.9234,NonToxic
0.1339,0.0064,3.8523,0,1.3908,0,0.0,0.0,2,5.0324,2.0961,37.3287,7.8977,NonToxic
0.1404,-0.0646,3.7962,0,1.4628,0,0.0,0.0,2,2.582,2.101,39.1066,2.5057,NonToxic
1.1731,-0.049,3.816,0,1.1585,0,0.0,0.0,1,5.1978,2.105,29.9797,2.6959,NonToxic
1.0594,0.0012,3.6192,0,1.1801,0,0.0,0.0,4,11.5145,2.0854,31.1769,1.7557,NonToxic
0.9072,0.0414,3.7887,0,1.3798,0,0.0,0.0,8,7.894,2.1283,32.6791,2.2187,NonToxic
0.3117,0.0573,3.7712,0,0.8037,0,0.0,0.0,2,5.1626,2.0883,41.4374,2.5022,NonToxic
2.9703,0.0252,3.7088,0,1.1085,0,0.0,11.4351,13,7.8482,2.1281,33.5265,1.6084,NonToxic
-0.7114,0.018,3.8095,0,1.3372,0,0.0,0.0,1,7.4242,2.0679,39.7543,2.4633,NonToxic
2.0646,0.0769,3.7771,0,0.8275,0,0.0,0.0,2,5.1628,2.0937,38.463,1.4378,NonToxic
0.3158,0.0092,3.7199,0,1.0666,0,0.0,0.0,3,5.0333,2.0737,36.519,8.1109,NonToxic
2.2222,0.1042,3.7894,0,0.9268,0,0.0,0.0,2,5.1613,2.0875,44.2071,2.1826,NonToxic
0.9108,0.06,3.7608,0,1.2559,0,0.0,0.0,5,10.4088,2.0985,27.2326,1.0351,NonToxic
3.6059,-0.0039,3.507,0,1.4133,0,0.0,0.0,8,5.2188,2.1274,27.1685,1.691,NonToxic
-0.0624,-0.1757,3.8633,0,1.7992,0,0.0,0.0,0,9.4914,2.1098,24.7139,2.2391,NonToxic
2.1558,-0.0025,3.7088,0,1.1901,0,0.0,0.0,6,11.5806,2.1106,30.7652,1.4885,NonToxic
0.7159,-0.1639,3.8147,0,1.5594,0,0.0,0.0,0,0.0,2.1092,28.7857,1.9795,NonToxic
0.8154,-0.0925,3.8472,0,0.9248,0,0.0,0.0,13,10.267,2.1155,34.7056,2.3492,NonToxic
1.1346,-0.0123,3.7698,0,1.1638,0,0.0,0.0,4,7.6023,2.0861,30.1243,8.6348,NonToxic
0.059,-0.0516,3.7969,0,1.3413,0,0.0,0.0,1,2.6103,2.0954,39.3255,2.5352,NonToxic
0.6419,-0.0416,3.7856,0,1.332,0,0.0,0.0,2,7.8099,2.0813,45.5585,2.3316,NonToxic
3.0374,-0.0533,3.7536,0,1.4152,0,0.0,0.0,3,2.591,2.1026,23.5087,1.3609,NonToxic
1.6398,-0.1309,3.8337,0,1.2633,0,0.0,8.8221,3,17.925,2.0486,40.34,0.8006,NonToxic
0.6895,-0.0295,3.7211,0,0.9896,1,0.0,0.0,2,10.2758,2.0773,34.6309,1.8897,NonToxic
1.6454,0.0488,3.734,0,1.1271,1,0.0,0.0,1,7.398,2.0534,29.7332,6.0464,NonToxic
-0.0645,-0.0432,3.8048,0,1.345,0,0.0,0.0,2,2.6041,2.0988,36.7928,2.3804,NonToxic
0.1466,0.0466,3.8302,0,1.2188,0,0.0,0.0,9,2.632,2.1205,39.1027,2.5865,NonToxic
-0.0547,-0.1317,3.6802,0,1.3068,0,0.0,0.0,2,0.0,2.0897,34.4581,2.4899,NonToxic
-0.0919,-0.0974,3.7854,0,1.2172,0,0.0,0.0,3,16.6124,2.1041,27.755,1.2918,NonToxic
-0.6071,0.0435,3.6813,0,0.958,0,0.0,0.0,1,5.7467,2.0684,25.5437,1.8685,NonToxic
0.4321,-0.0452,3.7934,0,1.9868,0,0.0,0.0,3,5.1969,2.0944,37.045,1.8951,Toxic
1.0864,-0.0709,3.8055,0,1.0843,1,0.0,0.4968,2,7.7166,2.0697,37.3839,1.8475,Toxic
3.7752,0.0013,3.7088,0,1.0643,3,0.0,0.0,7,2.5634,2.1245,26.4251,1.656,Toxic
1.0131,0.0219,3.6694,0,1.1647,0,0.0,0.0,21,10.4682,2.1089,27.5248,0.1739,Toxic
2.3174,-0.1987,3.7315,2,1.5465,0,0.0,0.0,6,5.2267,2.085,37.2647,0.7509,Toxic
1.3532,-0.0707,3.7865,0,1.1962,0,0.0,1.0084,2,0.0,2.1042,24.6627,2.1379,Toxic
0.9979,-0.1081,3.7156,0,1.0322,0,0.0,0.0,6,10.4359,2.1044,27.0982,1.748,Toxic
0.4106,0.0265,3.8095,2,1.3986,0,0.0,31.5906,2,13.0263,2.0678,28.003,0.9603,Toxic
1.0291,-0.0121,3.5885,0,1.3336,0,0.0,0.0,0,5.301,2.1831,31.4097,1.6582,Toxic
1.7051,-0.0194,3.7787,0,1.1366,0,0.395,0.2855,3,2.5848,2.1063,31.4803,1.867,Toxic
0.4614,-0.0666,3.7843,0,1.2177,0,0.0,0.0,2,7.8099,2.0813,42.5083,1.8486,Toxic
-0.6407,0.159,3.8333,0,0.8876,0,0.0,0.0,10,8.7821,2.1412,35.4959,2.6098,Toxic
0.9672,-0.1394,3.6827,0,1.1508,0,0.0,0.0,6,18.9834,2.1473,31.0368,2.9807,Toxic
1.2845,0.0188,3.9207,0,1.3569,0,0.0,0.0,4,13.04,2.1059,32.7841,1.2705,Toxic
-0.5254,0.1174,3.8376,0,0.9374,0,0.0,0.0,10,8.7778,2.1342,38.8607,2.6837,Toxic
4.0249,0.1212,3.5155,0,1.4418,0,0.0,0.0,8,5.1649,2.1203,28.5113,1.4477,Toxic
1.7641,-0.0143,3.8199,0,1.1855,1,0.0,0.0,7,5.2383,2.1248,42.2176,2.5148,Toxic
1.628,-0.0943,3.8373,0,1.4626,0,0.0,4.3223,10,10.5141,2.0882,37.683,1.4922,Toxic
1.5239,-0.0204,3.6373,0,1.1154,0,0.0,0.0,6,11.4328,2.1258,25.0381,2.0539,Toxic
0.7895,-0.0651,3.8229,0,1.0928,0,0.0,0.0,11,6.3985,2.144,29.0102,2.4517,Toxic
6.3909,-0.0315,3.7028,0,0.9098,0,0.0,0.0,6,10.4428,2.0861,25.6952,-0.375,Toxic
1.8627,-0.045,3.7859,0,1.2657,0,0.0,7.9492,2,13.9436,2.0913,25.9955,1.2107,Toxic
0.3655,0.0172,3.7536,0,1.2381,2,0.0,16.21,2,10.3804,2.0934,33.5521,1.3774,Toxic
1.6768,-0.0058,3.7803,0,1.3225,1,0.0,0.0,7,12.7027,2.0986,33.4368,1.7748,Toxic
0.2621,0.3042,3.7057,0,0.9112,0,0.0,7.9369,3,5.1992,2.0818,32.0184,2.1788,Toxic
1.8039,-0.0095,3.8453,0,1.5035,1,0.0,4.0689,6,7.8276,2.092,36.4287,0.9817,Toxic
0.753,0.0234,3.8355,0,1.117,0,0.0,0.0,1,5.2089,2.0828,34.5172,3.0532,Toxic
2.7605,0.0831,3.6735,0,1.2251,0,0.0,10.8387,5,7.6081,2.0961,27.6773,8.3045,Toxic
1.1597,-0.0278,3.8276,0,1.2722,0,0.0,0.0,7,5.8449,2.1297,31.3878,2.0247,Toxic
0.7215,-0.0391,3.7923,0,1.2792,0,0.0,0.0,2,7.8102,2.0813,46.9498,2.5419,Toxic
2.1001,0.0744,3.7786,1,0.8369,0,0.0,0.0,2,5.1645,2.0981,37.0204,1.8672,Toxic
2.7291,-0.0661,3.8043,0,1.3015,0,0.0,0.0,2,8.3336,2.0831,30.068,1.8677,Toxic
4.0365,-0.0201,3.8275,0,1.0991,0,0.0,28.4824,8,15.204,2.0889,30.2126,9.9448,Toxic
2.1284,0.0956,3.7672,0,0.8602,0,0.0,0.0,2,5.1626,2.1,37.1633,1.6656,Toxic
1.6652,0.0676,3.7944,0,0.7572,0,0.0,0.0,3,11.3534,2.1166,41.5112,2.4681,Toxic
2.68,-0.0875,3.7812,0,1.1798,3,0.0,0.0,6,5.1639,2.1012,39.679,2.3038,Toxic
2.8786,-0.0514,3.5053,0,1.2055,0,0.0,0.0,5,8.265,2.111,22.9163,1.4595,Toxic
3.2466,0.096,3.6789,0,1.097,0,0.0,0.0,6,5.2009,2.1217,24.759,2.0083,Toxic
6.6126,-0.0186,3.6494,0,0.9452,0,0.0,16.328,6,20.8054,2.0739,27.1233,-1.9403,Toxic
1.251,-0.0689,3.8343,0,1.0885,0,0.0,0.0,13,7.4798,2.124,31.7629,2.2231,Toxic
1.4003,-0.0766,3.7953,0,1.0902,0,0.0,0.0,13,2.6402,2.1412,29.4731,2.2814,Toxic
-0.0127,0.0011,3.7975,0,1.404,0,0.0,0.0,2,2.5989,2.1045,35.408,2.6092,Toxic
-0.1092,-0.1849,3.7184,0,1.154,0,0.0,0.0,2,5.7429,2.0737,37.9527,1.913,Toxic
1.9849,0.0473,3.8526,0,1.5806,1,0.0,0.0,6,7.8276,2.092,38.5655,1.746,Toxic
0.3873,0.0087,3.8573,0,1.3069,0,0.0,0.0,2,8.0219,2.0931,30.9481,2.06,Toxic
1.8698,-0.0071,3.8469,0,1.4576,1,0.0,4.1463,6,7.8276,2.092,35.7463,1.1766,Toxic
-0.1284,0.0301,3.7232,0,0.8505,0,0.0,0.0,14,8.2676,2.1056,33.0791,2.2833,Toxic
1.7325,-0.1322,3.7242,0,1.3207,0,0.0,0.0,3,5.0387,2.0591,29.2604,8.0686,Toxic
0.1101,0.0199,3.8303,0,0.9798,0,0.0,0.0,1,10.4111,2.0698,36.4314,7.8234,Toxic
-0.0825,-0.1177,3.6815,0,1.2533,0,0.0,0.0,2,5.7544,2.0886,36.4099,2.5024,Toxic
1.2152,0.0547,3.6929,0,0.8275,1,0.0,0.0,17,8.2875,2.1266,31.645,2.0032,Toxic
0.7783,-0.1137,3.797,0,1.241,0,0.0,0.0,6,14.6092,2.1064,31.1951,2.2221,Toxic
1.9202,-0.0854,3.8233,0,1.5338,0,0.0,0.0,2,5.787,2.0965,25.1842,1.4968,Toxic
3.0944,0.0491,3.7437,0,1.1816,0,0.0,0.0,6,15.5839,2.0847,32.1138,0.4875,Toxic
1.1694,0.074,3.5506,0,0.9533,0,0.0,14.5759,1,8.0741,2.0096,32.35,0.8336,NonToxic
-1.1708,-0.1036,3.084,0,0.9209,0,0.0,0.0,1,2.5677,2.0509,8.9425,1.4328,NonToxic
1.1676,-0.0495,3.7344,0,1.0479,0,0.0,11.7622,1,8.1175,2.0668,23.6194,1.8016,NonToxic
1.4552,0.0725,3.5944,0,1.027,0,0.0,7.1404,2,11.1559,2.0679,29.5689,1.3802,NonToxic
3.1936,-0.0366,3.1088,0,0.8565,0,0.0,0.0,8,2.5561,2.1301,8.4419,0.4216,NonToxic
4.6029,-0.1479,3.1464,0,0.8644,0,0.0,0.0,8,0.0,2.1301,8.5266,0.813,NonToxic
0.4956,-0.0985,3.7034,0,1.0758,1,0.0,5.8061,2,7.7895,2.0685,39.6418,3.2812,NonToxic
1.9456,0.0277,3.585,0,1.1022,0,0.0,-0.8532,2,8.0646,2.0745,26.2112,1.981,NonToxic
0.9341,0.0153,3.5734,0,1.3161,1,0.0,5.5787,2,7.7647,2.0589,33.1129,1.884,NonToxic
1.8472,-0.0361,3.694,0,1.0462,2,0.0,0.653,3,17.4373,2.0446,36.4417,6.4618,NonToxic
1.1022,0.0019,3.6774,0,0.9871,0,0.0,0.0,3,10.0551,2.0461,36.091,7.0653,NonToxic
-0.3276,0.1464,3.6382,0,1.0456,1,0.0,11.89,1,10.6802,2.0589,25.5972,1.3976,NonToxic
-0.2256,0.0749,3.6209,0,0.909,0,0.0,19.0843,3,12.6343,2.0449,35.4351,1.2477,NonToxic
0.8966,-0.0685,3.6875,0,0.8393,0,0.0,0.8609,1,5.1225,2.086,38.6097,2.5508,NonToxic
0.0526,-0.0576,3.7024,0,1.0941,0,0.0,0.8366,1,7.4357,2.078,39.7725,3.008,NonToxic
-0.2797,-0.0858,3.7086,0,1.1137,0,0.0,0.6824,1,8.1743,2.0825,40.3364,2.973,NonToxic
-0.5267,-0.0622,3.6996,0,0.9607,0,0.0,0.8757,1,10.3834,2.0764,40.3352,3.0897,NonToxic
-0.353,-0.1034,3.7328,0,0.9093,2,0.0,0.0,0,5.1634,2.0589,32.5206,2.4018,NonToxic
2.1697,-0.2151,3.586,0,1.0353,0,0.0,0.0,2,10.5682,2.0244,32.8007,1.0793,NonToxic
1.4692,-0.0597,3.4838,0,0.5938,0,0.0,2.8728,3,12.3106,2.1113,29.6031,2.0693,NonToxic
-1.0982,-0.1258,3.6065,0,0.8774,0,0.0,11.6151,3,15.2878,2.0422,37.0726,1.7055,NonToxic
0.1738,0.1095,3.5709,0,0.8026,1,0.0,0.0,3,14.5171,2.0997,28.2597,2.1573,NonToxic
1.9121,-0.0086,3.7699,0,1.448,0,0.0,0.3084,2,2.5785,2.0961,31.6717,0.1814,NonToxic
2.9137,0.2409,3.2416,0,1.402,0,0.0,0.0,6,3.0685,2.1058,12.7506,2.9594,NonToxic
1.643,0.0066,3.6954,0,1.0452,2,0.0,0.1902,1,10.6877,2.0516,33.3741,1.6947,NonToxic
1.5644,0.011,3.6923,0,1.036,2,0.0,0.1941,1,10.6878,2.0576,29.0803,1.0742,NonToxic
1.7127,-0.0121,3.6986,0,1.023,2,0.0,4.7001,1,10.6877,2.0516,32.5632,1.964,NonToxic
2.1825,-0.065,3.117,0,0.9498,0,0.0,0.0,1,2.569,2.0635,8.4421,0.8843,NonToxic
1.214,-0.0691,3.4789,0,1.2662,0,0.0,0.0,2,10.786,2.0767,21.9542,1.323,NonToxic
0.8763,0.1463,3.6813,0,0.8808,0,0.0,-0.9139,3,4.993,2.0754,27.6598,2.9872,NonToxic
-0.2976,0.0347,3.6624,0,1.004,1,0.0,14.649,3,10.7504,2.0573,30.5688,1.734,Toxic
2.3804,0.4715,3.0668,0,1.1445,0,0.0,0.0,1,2.5356,1.9898,10.1812,-0.887,Toxic
