WTPT-1,JGI9,JGI4,khs.dssC,GATS8s,nAtomLAC,BCUTw-1l,JGI7,minaasC,EE_Dt,minssCH2,WTPT-2,nG,Class
0.0,0.0092,0.0498,0,1.0575,0,11.85,0.0144,0.0,709.7827,0.0,0.0,0,NonToxic
91.1776,0.0059,0.0339,2,1.7013,0,11.85,0.0092,-0.1122,706.1891,0.0,2.1204,0,NonToxic
91.7413,0.0062,0.0472,0,0.7828,0,11.9961,0.0141,-0.0928,709.7827,0.0,2.085,0,NonToxic
93.5887,0.0072,0.0484,0,1.0298,0,11.9961,0.0145,-0.1442,709.7827,0.0,2.0797,0,NonToxic
92.8035,0.0083,0.0398,2,0.7427,0,11.9883,0.0114,-0.0525,709.7827,0.406,2.1092,0,NonToxic
91.7392,0.0075,0.0483,6,0.884,0,11.9883,0.013,0.1047,709.7827,0.0,2.085,0,NonToxic
92.6743,0.0085,0.0365,5,1.0788,0,11.85,0.0128,0.1281,709.7827,0.0,2.1062,0,NonToxic
78.4031,0.0069,0.0327,1,0.6483,0,11.85,0.0126,0.5479,552.9903,0.0,2.119,0,NonToxic
65.5437,0.0083,0.046,0,1.7228,0,11.85,0.0108,0.0189,465.6785,0.0,2.1143,0,NonToxic
74.9563,0.0092,0.0431,4,1.1755,0,11.85,0.0136,0.3946,470.0171,-0.2955,2.0821,2,NonToxic
76.8536,0.0068,0.04,4,0.9378,0,11.89,0.0135,0.1897,490.6742,0.0,2.0771,0,NonToxic
83.3567,0.0059,0.0362,0,1.0954,0,11.85,0.0106,0.4841,682.1972,0.0,2.1374,0,NonToxic
69.7668,0.0026,0.0283,0,0.9802,0,11.85,0.0122,0.8249,394.685,0.0,2.1141,0,NonToxic
73.4532,0.0067,0.0356,2,0.7651,0,11.85,0.0114,0.5586,462.6545,0.5798,2.0987,0,NonToxic
81.8527,0.0093,0.0309,4,0.6571,0,11.85,0.0167,0.5022,501.4645,0.0,2.0988,0,NonToxic
80.5302,0.0072,0.0187,3,1.625,0,11.85,0.0083,0.492,660.4769,0.0,2.1192,0,NonToxic
89.8639,0.0073,0.0351,3,1.3143,2,11.9882,0.0134,-0.3146,709.7827,0.316,2.0899,1,NonToxic
80.3629,0.005,0.0546,2,1.6037,0,11.9961,0.0207,-0.5153,709.7827,0.0,2.1148,0,NonToxic
91.5191,0.008,0.0371,3,0.7348,0,11.89,0.0127,0.045,627.4138,0.5986,2.08,0,NonToxic
93.0343,0.0073,0.0455,3,1.9261,0,11.9932,0.0137,0.8876,709.7827,0.0,2.1144,0,NonToxic
95.9407,0.0087,0.0376,2,1.2492,2,11.85,0.0128,0.4558,709.7827,0.1978,2.132,0,NonToxic
77.3238,0.0067,0.0446,3,1.4821,0,11.9882,0.0136,0.6627,534.9139,0.0,2.0898,0,NonToxic
71.4817,0.0076,0.0463,2,0.7231,0,11.9882,0.0129,0.6546,709.7827,0.0,2.1661,0,NonToxic
75.2426,0.0079,0.0384,3,0.4965,0,11.85,0.01,-0.0465,496.8797,0.0,2.0901,0,NonToxic
83.0069,0.0086,0.0431,3,0.5023,0,11.9942,0.0139,0.3683,580.6612,0.3318,2.0752,0,NonToxic
87.4301,0.0089,0.0519,5,0.8243,0,11.9883,0.0142,0.1845,709.7827,0.48,2.0817,0,NonToxic
87.6559,0.0066,0.0294,4,1.0021,0,11.9883,0.0108,0.2127,666.9715,0.0,2.087,0,NonToxic
81.1234,0.0089,0.0498,2,0.8797,0,11.85,0.0134,0.2816,709.7827,0.0,2.1348,0,NonToxic
87.0841,0.0074,0.0389,2,0.684,0,11.9883,0.0104,0.0481,709.7827,0.5429,2.124,0,NonToxic
85.9705,0.0079,0.0467,4,0.6782,0,11.9883,0.0115,0.1706,709.7827,0.0,2.0968,0,NonToxic
69.5132,0.0081,0.0456,4,1.2112,0,11.9884,0.0127,0.4161,505.9351,0.3886,2.1065,0,NonToxic
89.6126,0.0072,0.0419,0,0.8252,2,11.85,0.0084,1.3177,709.7827,1.059,2.1336,0,NonToxic
89.1279,0.0076,0.0412,2,0.8124,0,11.9883,0.0105,0.6133,709.7827,0.6596,2.1221,0,NonToxic
89.1464,0.0092,0.0346,2,1.5228,2,11.85,0.0128,0.4981,709.7827,0.5355,2.1225,0,NonToxic
92.7522,0.0079,0.0444,3,1.3158,3,11.9942,0.0109,0.3936,709.7827,0.0827,2.108,1,NonToxic
76.9549,0.0088,0.0348,5,1.0523,0,11.85,0.0115,-0.0643,510.3444,0.0,2.0799,0,NonToxic
85.0547,0.0073,0.0365,3,1.6968,0,11.85,0.0142,-0.2168,559.118,0.5053,2.0745,0,NonToxic
94.8185,0.0067,0.0442,4,1.3532,0,11.85,0.0137,0.2277,709.7827,0.3613,2.1071,1,NonToxic
74.9655,0.0091,0.0426,5,1.2206,0,11.85,0.0148,-0.3436,479.7394,0.0,2.0824,0,NonToxic
67.4237,0.009,0.0445,4,1.1623,0,11.9966,0.0145,0.2484,442.0719,0.0,2.107,0,NonToxic
91.7379,0.0072,0.0479,6,0.9345,0,11.9883,0.0133,0.1272,709.7827,0.0,2.085,0,NonToxic
91.803,0.0081,0.0482,2,1.1147,2,11.9883,0.0119,-0.6496,709.7827,0.4872,2.0864,0,NonToxic
75.3567,0.0082,0.045,2,1.1848,2,11.89,0.0117,0.3279,674.2551,-0.32,2.0932,0,NonToxic
76.0758,0.01,0.0384,4,0.9128,0,11.9883,0.0122,0.1182,558.0631,0.0,2.1132,0,NonToxic
78.0798,0.008,0.0467,3,1.5793,0,11.85,0.0131,0.5576,631.0458,0.0,2.1103,1,NonToxic
90.369,0.0064,0.0299,1,0.7393,0,11.85,0.01,0.6505,610.3316,0.5622,2.1016,0,NonToxic
84.2921,0.0077,0.0337,1,0.6906,0,11.9,0.0095,0.7346,570.1962,0.6346,2.1073,0,NonToxic
73.1191,0.0084,0.0387,1,0.6769,0,11.85,0.0118,0.9874,463.0905,0.8051,2.0891,0,NonToxic
90.2117,0.0075,0.0429,0,1.2861,0,11.9,0.0062,1.3891,709.7827,1.2025,2.1479,0,NonToxic
89.1906,0.0079,0.0386,2,1.6353,0,11.85,0.0129,0.0309,709.7827,0.7531,2.1236,0,NonToxic
79.0186,0.0086,0.0464,2,1.0006,0,11.85,0.0148,-0.5005,606.5994,-0.1736,2.0794,0,NonToxic
75.0973,0.0087,0.0409,1,1.0157,0,11.85,0.0142,0.3447,525.3201,0.4285,2.086,0,NonToxic
77.569,0.0065,0.0299,0,0.7965,0,11.85,0.0111,0.9913,605.2034,0.9801,2.1547,0,NonToxic
86.8028,0.0067,0.0314,2,1.3653,0,11.85,0.0131,0.5779,556.1438,0.138,2.1171,0,NonToxic
75.1818,0.008,0.0373,2,1.5595,0,11.85,0.0145,-0.2684,502.3382,0.5416,2.0884,0,NonToxic
83.7496,0.0082,0.0365,2,1.0998,0,11.85,0.0133,-0.3454,498.0705,0.1536,2.0937,0,NonToxic
88.0367,0.0071,0.0351,0,0.7583,0,11.85,0.0132,0.4715,601.1752,0.4275,2.0961,0,NonToxic
90.345,0.0047,0.0309,1,0.7662,0,11.85,0.01,0.7505,653.5338,0.5853,2.101,0,NonToxic
82.0942,0.0048,0.0322,3,0.838,0,11.85,0.0091,0.4423,532.9316,0.8234,2.105,0,NonToxic
70.9031,0.0091,0.0459,2,0.8586,0,11.85,0.0156,0.2821,478.2387,0.2312,2.0854,0,NonToxic
83.002,0.0063,0.0426,3,1.4471,0,11.85,0.0134,0.516,709.7827,0.0,2.1283,1,NonToxic
85.6213,0.0089,0.0384,2,1.0846,0,11.85,0.0161,-0.3452,513.9022,0.185,2.0883,0,NonToxic
85.1241,0.0086,0.0466,3,1.3469,0,11.85,0.0108,0.3849,709.7827,0.0,2.1281,0,NonToxic
88.9211,0.0075,0.0359,1,0.5082,0,11.9974,0.0137,-0.329,585.1531,0.4581,2.0679,0,NonToxic
83.7496,0.0082,0.0365,2,1.2778,0,11.85,0.0133,-0.228,498.0705,0.1957,2.0937,0,NonToxic
78.8021,0.0089,0.0429,0,1.9239,0,11.89,0.0146,0.0247,539.0889,0.7773,2.0737,0,NonToxic
85.5873,0.0075,0.0365,2,2.2343,0,11.85,0.0142,0.965,518.564,0.2759,2.0875,0,NonToxic
83.939,0.0079,0.0471,4,1.1219,0,11.85,0.0129,-0.2154,656.1874,0.0,2.0985,0,NonToxic
72.33,0.0071,0.0301,2,1.0089,0,11.9,0.0107,0.5514,522.2542,1.0305,2.1274,0,NonToxic
82.2824,0.004,0.0281,0,0.6285,0,11.85,0.0085,0.3218,480.047,0.0,2.1098,0,NonToxic
84.4226,0.0049,0.0436,2,0.4825,0,11.85,0.0058,0.3306,709.7827,0.0,2.1106,0,NonToxic
88.588,0.0057,0.0233,0,0.9071,0,11.85,0.006,0.4098,546.1035,0.0,2.1092,0,NonToxic
90.9652,0.0082,0.0407,2,0.8155,0,11.9883,0.0105,0.0207,709.7827,0.5917,2.1155,0,NonToxic
75.0982,0.0087,0.0402,1,0.9599,0,11.85,0.0145,0.3447,525.4667,0.4285,2.0861,0,NonToxic
92.1956,0.0068,0.0324,1,0.7133,2,11.85,0.0104,0.7507,595.1632,0.6117,2.0954,0,NonToxic
91.5759,0.0084,0.0453,5,0.5625,2,11.9973,0.0147,-0.5682,648.8078,-0.2881,2.0813,3,NonToxic
73.5919,0.01,0.0355,1,0.5014,2,11.85,0.0081,0.7476,460.0529,0.0,2.1026,0,NonToxic
88.0881,0.0117,0.0455,6,1.5327,0,11.9883,0.0159,-0.3704,587.3673,0.0,2.0486,0,NonToxic
76.8617,0.0077,0.0422,4,1.4491,2,11.85,0.0171,0.6708,488.4678,-0.3139,2.0773,2,NonToxic
75.975,0.0107,0.0369,4,0.8688,2,11.85,0.0163,-0.3532,433.884,0.0,2.0534,0,NonToxic
88.1496,0.0064,0.0361,1,0.543,0,11.89,0.0129,-0.3028,612.1996,0.5664,2.0988,0,NonToxic
91.1833,0.009,0.0348,2,1.5488,2,11.85,0.0119,0.5089,709.7827,0.5468,2.1205,0,NonToxic
75.2295,0.0075,0.044,0,0.7575,0,11.85,0.0122,1.0303,506.6906,0.9788,2.0897,0,NonToxic
82.0585,0.0096,0.0426,6,0.8469,0,11.9966,0.0138,0.149,602.9631,0.0,2.1041,0,NonToxic
68.2585,0.0068,0.0272,1,1.7914,0,11.9974,0.0152,-0.7786,377.7718,0.4392,2.0684,0,NonToxic
87.9668,0.0084,0.041,6,1.2909,0,11.85,0.0169,0.3153,641.3125,0.0,2.0944,0,Toxic
86.9266,0.0092,0.0466,5,1.201,2,11.85,0.015,0.5106,651.6972,-0.214,2.0697,1,Toxic
76.4807,0.0052,0.033,1,2.541,0,11.85,0.0116,0.3687,603.2457,1.0777,2.1245,0,Toxic
75.9209,0.0093,0.0587,4,0.9985,0,11.85,0.0149,0.2652,709.7827,0.0,2.1089,0,Toxic
91.7413,0.0062,0.0472,6,0.7356,0,11.89,0.0141,0.4442,709.7827,0.0,2.085,0,Toxic
71.5443,0.0072,0.0349,2,1.1971,0,11.85,0.0145,0.8268,471.9367,0.0,2.1042,0,Toxic
79.9683,0.0068,0.0486,4,1.0391,0,11.9883,0.0123,0.044,668.1421,0.206,2.1044,0,Toxic
82.7106,0.0085,0.0378,5,1.1343,2,11.69,0.0143,0.0777,538.6856,0.0,2.0678,0,Toxic
87.3237,0.0078,0.0476,0,0.7872,0,11.9942,0.0115,0.0,709.7827,0.0,2.1831,0,Toxic
82.1458,0.0076,0.0328,5,1.9702,0,11.9778,0.0112,0.8988,612.3452,0.7018,2.1063,0,Toxic
91.5759,0.0084,0.0453,5,0.6988,2,11.9974,0.0147,-0.6082,648.8078,-0.4039,2.0813,3,Toxic
92.0717,0.0079,0.035,1,1.373,2,11.85,0.0121,0.4376,709.7827,0.1976,2.1412,0,Toxic
79.4495,0.0102,0.0285,0,1.5364,0,11.9936,0.0064,0.9769,615.4196,0.5,2.1473,0,Toxic
92.6612,0.0074,0.0404,5,1.4489,0,11.85,0.015,0.1286,709.7827,0.0,2.1059,0,Toxic
93.9029,0.0089,0.0375,2,1.2671,0,11.89,0.0135,0.4451,709.7827,0.1966,2.1342,0,Toxic
76.3293,0.0063,0.0325,2,1.8204,0,11.9,0.0127,0.4503,570.979,1.0422,2.1203,0,Toxic
89.2401,0.0057,0.0392,2,1.507,0,11.85,0.0135,1.0348,709.7827,0.1483,2.1248,2,Toxic
87.7043,0.0094,0.0484,4,0.7226,0,11.9883,0.0149,0.2341,688.4739,0.0,2.0882,0,Toxic
74.4037,0.0083,0.0432,4,1.6684,0,11.9883,0.0096,0.5473,608.4065,0.0,2.1258,0,Toxic
83.617,0.007,0.0419,0,1.0799,0,11.85,0.0096,0.5506,709.7827,0.2429,2.144,0,Toxic
73.014,0.011,0.0555,4,0.963,0,11.9932,0.0147,0.1072,607.2036,0.0,2.0861,0,Toxic
77.3793,0.0061,0.0451,5,0.7008,0,11.9883,0.0121,0.3756,546.7989,0.0,2.0913,0,Toxic
90.0152,0.0087,0.0365,4,0.9914,0,11.85,0.0129,-0.2726,593.8166,0.0,2.0934,0,Toxic
83.9437,0.0071,0.0446,3,0.8511,0,11.999,0.0145,-0.1006,700.4101,0.0,2.0986,1,Toxic
77.0253,0.008,0.0411,2,1.1837,0,11.9974,0.0148,-0.4632,527.6726,0.593,2.0818,0,Toxic
87.8647,0.0084,0.0381,3,1.4509,0,11.9985,0.0123,-0.3878,709.7827,0.3222,2.092,1,Toxic
83.3123,0.0059,0.0366,1,0.971,0,11.85,0.0115,0.695,563.0044,0.5666,2.0828,0,Toxic
71.2688,0.0093,0.036,1,1.3664,0,11.9,0.0126,0.3507,468.8013,0.4327,2.0961,0,Toxic
85.1885,0.0071,0.0418,0,0.9414,0,11.85,0.0124,0.12,703.0913,0.0,2.1297,0,Toxic
91.5765,0.0083,0.0469,5,0.9843,2,11.85,0.0149,0.4897,646.9232,-0.214,2.0813,3,Toxic
83.9231,0.0074,0.0339,2,1.3193,0,11.85,0.0129,0.5019,501.6018,0.1966,2.0981,0,Toxic
79.1576,0.0081,0.0463,3,1.4814,0,11.85,0.0145,0.0814,562.558,0.0,2.0831,0,Toxic
83.5555,0.0079,0.0389,2,0.74,0,11.85,0.0102,0.1642,621.8956,0.0,2.0889,0,Toxic
81.8998,0.0077,0.0348,2,1.4917,0,11.85,0.013,0.8986,480.3153,0.2873,2.1,0,Toxic
88.898,0.0078,0.0354,2,1.5317,0,11.85,0.0127,0.6419,587.4154,0.222,2.1166,0,Toxic
79.8442,0.0077,0.0393,4,1.488,0,11.85,0.0135,0.5964,558.2802,1.2693,2.1012,1,Toxic
67.553,0.0074,0.0395,3,1.2522,0,11.9883,0.0115,0.5298,449.423,1.0499,2.111,0,Toxic
74.2583,0.006,0.0303,2,1.4328,0,11.85,0.0112,0.4185,580.6057,0.9434,2.1217,0,Toxic
74.6599,0.0103,0.0596,4,0.9685,0,11.85,0.0163,-0.7358,610.3378,0.0,2.0739,0,Toxic
87.0831,0.0081,0.0394,2,0.8432,0,11.9883,0.0094,0.0349,709.7827,0.6311,2.124,0,Toxic
81.3639,0.0069,0.0384,2,0.8887,0,11.9942,0.008,0.7017,697.0568,0.7679,2.1412,0,Toxic
86.286,0.0063,0.0348,1,0.7555,0,11.85,0.0119,0.7284,591.1294,0.6221,2.1045,0,Toxic
85.0231,0.0101,0.0363,1,0.5023,3,11.9974,0.0132,-0.7759,589.6084,0.426,2.0737,0,Toxic
87.8647,0.0084,0.0381,3,1.4716,0,11.9882,0.0123,0.2796,709.7827,0.3346,2.092,1,Toxic
87.9106,0.0081,0.0364,1,1.5115,2,11.9882,0.0141,0.3782,605.9129,0.0,2.0931,0,Toxic
87.8647,0.0084,0.0381,3,1.1539,0,11.9882,0.0123,-0.4083,709.7827,0.1374,2.092,1,Toxic
82.1178,0.0099,0.0382,2,1.1419,3,11.85,0.0128,-0.2613,709.7827,0.5644,2.1056,0,Toxic
70.0099,0.0088,0.0418,0,2.1997,3,11.89,0.0143,-0.0189,450.8236,0.0,2.0591,0,Toxic
84.8618,0.0085,0.042,1,0.9048,0,11.85,0.0131,0.4221,504.501,0.3066,2.0698,0,Toxic
81.4546,0.008,0.0366,1,0.9628,4,11.85,0.0111,-0.3508,549.6578,0.5303,2.0886,0,Toxic
87.1924,0.0074,0.0367,2,1.0724,2,11.85,0.0139,0.5516,709.7827,-0.1428,2.1266,0,Toxic
82.1491,0.0062,0.0464,4,0.8907,0,11.85,0.0153,0.3117,670.8307,0.4294,2.1064,0,Toxic
75.4756,0.0058,0.0427,3,1.0681,0,11.9882,0.0129,0.6616,512.5189,0.0,2.0965,0,Toxic
91.7279,0.0084,0.051,6,0.62,0,11.85,0.0144,0.1861,709.7827,0.0,2.0847,0,Toxic
62.2981,0.0081,0.0372,4,1.0197,5,11.9974,0.0149,-0.2661,339.6493,0.3674,2.0096,0,NonToxic
36.9166,0.0041,0.0523,1,0.2319,0,11.9884,0.0133,0.2998,145.1079,0.0,2.0509,0,NonToxic
70.2726,0.0068,0.0364,2,1.1326,2,11.85,0.0129,0.208,399.677,0.0,2.0668,0,NonToxic
76.5132,0.008,0.031,3,0.7993,2,11.85,0.0109,0.4328,450.4271,0.4733,2.0679,0,NonToxic
36.2115,0.0,0.0302,0,4.223,0,11.85,0.0229,-0.2837,211.4626,0.0,2.1301,0,NonToxic
36.2115,0.0,0.0302,0,2.0807,0,11.85,0.0229,0.2163,211.4626,0.0,2.1301,0,NonToxic
80.6719,0.0087,0.0477,7,0.9087,0,11.89,0.0132,0.4697,560.931,0.5984,2.0685,1,NonToxic
70.5332,0.0077,0.0368,3,0.8331,2,11.85,0.0125,-0.2937,468.4177,0.7647,2.0745,0,NonToxic
70.002,0.0094,0.0465,3,0.8197,3,11.85,0.0132,0.359,455.7853,0.5383,2.0589,0,NonToxic
79.7413,0.0097,0.041,6,1.0596,2,11.9884,0.0165,0.0393,531.0535,0.3405,2.0446,1,NonToxic
75.7043,0.0113,0.0403,4,0.6407,2,11.9,0.0142,-0.8192,490.4385,0.255,2.0461,0,NonToxic
74.1213,0.0069,0.0356,5,1.1092,2,11.85,0.012,-0.4369,452.9079,-0.3415,2.0589,1,NonToxic
73.6163,0.0127,0.0508,3,1.0306,0,11.999,0.0173,-1.0461,487.5745,-0.261,2.0449,0,NonToxic
77.1813,0.0068,0.036,2,1.2138,2,11.85,0.0119,0.2666,427.9818,0.7595,2.086,0,NonToxic
81.0413,0.0072,0.035,2,1.2018,2,11.999,0.0122,0.0814,458.6135,0.6862,2.078,0,NonToxic
79.1344,0.0077,0.0363,3,1.0074,2,11.9936,0.0118,0.3416,442.7348,0.5203,2.0825,0,NonToxic
83.0549,0.0068,0.034,2,1.1027,2,11.999,0.012,0.0734,474.646,0.5551,2.0764,0,NonToxic
74.1201,0.0096,0.0363,3,1.699,2,11.85,0.0116,0.4856,413.4518,0.5584,2.0589,0,NonToxic
62.7565,0.0152,0.0567,3,0.5014,3,11.89,0.0225,0.1508,351.2724,0.0,2.0244,0,NonToxic
65.4488,0.0073,0.043,4,0.994,0,11.9966,0.0128,0.8182,429.922,0.2974,2.1113,0,NonToxic
75.56,0.0102,0.0521,7,0.96,3,11.9884,0.0161,0.5142,501.9389,-0.0549,2.0422,0,NonToxic
71.3883,0.0098,0.0482,3,1.2004,0,11.9884,0.0125,0.401,489.77,0.1559,2.0997,0,NonToxic
75.4596,0.0082,0.0401,4,0.8127,0,11.9,0.0087,0.4884,522.6218,0.5822,2.0961,0,NonToxic
37.9044,0.0,0.0505,0,3.7373,0,11.89,0.0102,0.8808,227.5548,0.9089,2.1058,0,NonToxic
73.8593,0.0099,0.0486,4,1.4751,2,11.89,0.0138,0.3984,395.0823,0.5253,2.0516,0,NonToxic
72.0169,0.009,0.0479,4,1.2063,2,11.9974,0.0126,-0.3344,379.1631,0.5024,2.0576,0,NonToxic
73.8593,0.0099,0.0486,4,1.3618,2,11.89,0.0138,-0.4944,395.0823,0.4859,2.0516,0,NonToxic
37.1433,0.0034,0.0455,1,0.7954,0,11.9884,0.0132,0.3409,153.3783,0.0,2.0635,0,NonToxic
66.4556,0.008,0.0354,3,0.985,2,11.85,0.0132,0.2902,406.1626,0.0,2.0767,0,NonToxic
70.5647,0.0067,0.0361,2,0.9103,2,11.85,0.0112,0.7114,500.1328,0.4699,2.0754,0,NonToxic
76.121,0.0074,0.0458,5,1.2687,2,11.89,0.0139,0.5157,529.2715,-0.3143,2.0573,1,Toxic
31.8366,0.0,0.0629,0,0.272,0,11.9974,0.0443,-0.7124,119.334,0.0,1.9898,0,Toxic
