SpMax4_Bhm,MATS7v,maxssNH,MATS6s,ATSC2e,minsF,MDEN-22,VR1_Dt,ATSC5e,ATSC5m,AATSC6e,SsF,SpMax5_Bhm
3.8311,-0.0006,0.0,0.0338,0.9281,0.0,0.0909,1022.946,-1.8717,-470.403,0.0037,0.0,3.6046
3.7767,-0.0789,0.0,-0.062,3.1298,0.0,1.9366,718.1386,0.7864,399.0852,-0.0093,0.0,3.7457
3.6912,-0.2021,0.0,0.2006,1.3313,0.0,1.6708,4000426.093,-3.9153,-1006.6575,0.0119,0.0,3.6591
3.6914,-0.257,0.0,0.1267,0.9338,0.0,0.7663,2023.8037,-3.472,-815.0494,0.0037,0.0,3.6651
3.831,-0.0467,0.0,-0.0427,1.8548,0.0,0.1429,350.9417,-1.6947,-592.9281,0.0036,0.0,3.6065
3.6874,-0.0264,2.7191,0.0183,0.6858,0.0,0.1667,4000453.337,-1.7315,-751.4012,0.0047,0.0,3.6613
3.8796,-0.0639,0.0,0.0427,1.4803,0.0,0.0,3000433.019,-2.5273,-408.73,0.0049,0.0,3.5406
3.6856,-0.0119,0.0,-0.1076,0.6138,0.0,1.0,776.511,-1.1249,-529.3589,-0.0052,0.0,3.5431
3.6378,0.0286,0.0,-0.1134,1.3635,0.0,1.0,378.9705,0.0259,329.5432,-0.0176,0.0,3.3466
3.7028,-0.1,0.0,-0.0512,1.2153,0.0,0.0,3000338.19,-0.4736,-78.4207,-0.0071,0.0,3.3177
3.7368,-0.1456,0.0,-0.0197,1.719,0.0,0.0714,2000295.006,-0.491,-358.6325,0.0034,0.0,3.4118
3.7581,-0.006,0.0,-0.0057,1.0963,0.0,2.0502,432.0866,-0.6459,150.8196,0.0011,0.0,3.6153
3.7551,-0.0613,0.0,-0.1611,0.6234,0.0,1.1447,280.1635,-0.4897,70.1691,-0.0074,0.0,3.5819
3.6436,-0.0696,0.0,-0.0615,0.5818,0.0,0.0,540.8835,-1.4849,-735.5297,-0.0045,0.0,3.4443
3.6616,0.1689,0.0,-0.0601,1.5332,0.0,0.0,360.913,-0.7795,-1439.9212,-0.0006,0.0,3.5853
3.5513,0.141,3.159,-0.0475,0.2979,0.0,1.8257,644.1864,-0.3656,-634.3788,-0.0016,0.0,3.5513
3.8198,0.0121,2.8933,0.0906,1.4128,13.2575,0.1111,412.6191,-1.391,-124.3604,0.0062,13.2575,3.6825
3.6001,-0.1512,0.0,0.0625,0.0949,0.0,0.0,1081.2105,-3.6002,-1159.3869,0.0087,0.0,3.3347
3.837,0.1358,0.0,-0.0951,1.937,0.0,0.3333,707.5113,-2.1506,-588.2013,-0.0081,0.0,3.7416
3.6477,-0.0856,0.0,0.2728,0.7335,0.0,0.0,2446.6615,-0.0447,396.0044,0.0075,0.0,3.6477
3.8057,0.0427,0.0,-0.0863,1.0492,0.0,0.8255,642.7521,0.1255,-353.3787,-0.0055,0.0,3.6108
3.775,-0.1338,2.9908,-0.0469,1.163,0.0,1.0837,393.4225,-0.7859,702.8811,-0.0044,0.0,3.5071
3.5961,-0.0334,0.0,-0.1904,0.5753,0.0,0.0,4229.8486,-0.9116,-546.1569,-0.0093,0.0,3.3845
3.7114,-0.1812,0.0,0.0839,1.6467,0.0,0.5,986.0196,-2.2151,-486.1547,0.0151,0.0,3.4869
3.6233,-0.0754,0.0,-0.226,2.3351,0.0,0.0,769.2294,-3.0802,-916.4682,-0.0137,0.0,3.4993
3.7196,0.0201,3.6765,-0.0195,2.2322,0.0,0.1429,415.4847,-1.3386,-1495.1283,-0.0018,0.0,3.4699
3.8008,0.0019,2.733,0.0806,0.7839,0.0,3.7139,3418.2837,-2.602,-7.3404,0.0277,0.0,3.7601
3.5729,0.0293,0.0,-0.0956,1.6065,0.0,0.0,312.0307,-2.7333,-769.5951,-0.0003,0.0,3.5135
3.777,-0.0548,0.0,-0.0934,1.2433,0.0,0.1429,322.7445,-1.2861,-464.2131,-0.003,0.0,3.5619
3.6742,-0.0295,3.1019,-0.1073,1.6697,0.0,4.0613,5000373.954,-2.4237,-1350.6092,-0.0084,0.0,3.6677
3.5461,-0.1789,0.0,0.1859,1.2902,0.0,0.0,302.5145,-0.6968,738.956,0.0169,0.0,3.3312
3.7101,-0.1369,0.0,-0.1093,-0.9067,0.0,0.0588,685.4556,0.1074,821.9259,-0.0023,0.0,3.5885
3.7844,-0.0905,0.0,-0.0266,-0.0165,0.0,0.1429,329.6032,-0.9598,-115.8251,0.0005,0.0,3.5694
3.7759,0.0274,0.0,0.0982,1.0183,0.0,0.8255,437.5271,-0.2885,-260.2998,-0.0008,0.0,3.6061
3.8213,-0.0397,3.0997,0.1129,0.5274,0.0,0.0,1624.6611,1.6013,785.8889,0.005,0.0,3.5774
3.6227,-0.0348,2.8674,0.0442,1.7191,0.0,0.0,574.9114,0.1922,67.424,0.0049,0.0,3.4883
3.7145,-0.0086,0.0,0.1722,1.0952,0.0,0.0,560.798,-0.287,114.7726,0.0118,0.0,3.5901
3.7311,0.0554,0.0,0.1021,0.4926,0.0,0.0,816.5697,-0.3231,-362.6119,0.0115,0.0,3.7005
3.7578,-0.0613,0.0,0.0882,1.0997,14.3285,0.3333,668.2526,0.4238,-452.5776,0.0104,14.3285,3.5113
3.4795,-0.042,0.0,-0.0995,1.7886,0.0,0.0,1231.4245,-2.374,-305.5902,0.0038,0.0,3.2832
3.6891,-0.0983,2.726,-0.031,0.6858,0.0,0.1429,893.9692,-2.094,-894.1514,-0.0031,0.0,3.6612
3.6695,-0.1255,3.391,-0.0698,3.4923,13.1893,0.2,390.024,2.4654,788.258,-0.0096,39.568,3.6005
3.6133,-0.013,0.0,0.0166,0.6975,0.0,0.3333,290.9892,1.0784,614.7828,0.001,0.0,3.4966
3.6365,-0.0502,0.0,0.0831,1.4723,0.0,0.0,4000706.649,-1.8355,-7.6882,0.0145,0.0,3.3168
3.7487,-0.0041,0.0,0.0911,0.5995,0.0,0.0,783.1964,-0.4128,21.4831,0.0041,0.0,3.4926
3.7717,-0.0214,0.0,-0.1317,0.7201,0.0,1.04,3155.4852,-1.2204,-327.031,-0.0069,0.0,3.6905
3.645,-0.0968,0.0,-0.0827,0.217,0.0,1.04,578.083,-0.615,-458.4415,-0.0079,0.0,3.5798
3.6556,-0.099,0.0,-0.1031,0.7141,0.0,0.3333,956.3123,-1.6531,-928.1821,-0.0059,0.0,3.4662
3.7407,-0.1044,0.0,-0.1557,-0.4371,0.0,0.0,791.5373,0.2965,408.6149,-0.001,0.0,3.7125
3.8364,-0.0893,0.0,-0.0571,1.5668,0.0,0.0,450.6494,-0.3435,590.5407,-0.0023,0.0,3.6477
3.7465,0.0436,0.0,-0.0183,1.0676,14.661,0.0,505.5783,-0.5614,-421.9867,0.0007,14.661,3.7004
3.8216,0.0776,0.0,-0.0455,1.9706,0.0,0.0,570.6858,-1.7868,-220.946,-0.0033,0.0,3.6946
3.7368,-0.0826,0.0,-0.2503,0.7434,0.0,0.3333,426.3958,-0.9896,-684.4226,-0.0082,0.0,3.3872
3.7321,0.0702,0.0,0.0632,0.5809,0.0,0.1667,620.9183,0.713,-904.4901,0.0039,0.0,3.5633
3.6532,0.0887,2.8884,0.0619,0.5617,13.2422,1.4422,332.625,0.918,198.4055,0.0047,13.2422,3.4978
3.7245,0.0444,0.0,0.099,0.4698,14.1894,0.1667,550.249,0.4874,-480.9108,0.0053,14.1894,3.5624
3.7994,0.0064,0.0,-0.0551,1.8646,0.0,1.04,606.3134,-1.7563,-636.0768,-0.0075,0.0,3.7266
3.7346,-0.0646,3.1632,-0.1569,1.385,0.0,1.228,634.7234,-1.2037,-27.2359,-0.01,0.0,3.6307
3.7562,-0.049,0.0,-0.0672,1.0873,0.0,0.3333,587.1139,-1.7355,-552.1599,-0.0081,0.0,3.7352
3.6508,0.0012,0.0,-0.1458,0.3539,0.0,0.0,362.9816,-0.3698,-362.6052,-0.0095,0.0,3.394
3.747,0.0414,0.0,0.0577,1.1037,0.0,1.0,2591.4122,-0.2659,-141.4812,0.0003,0.0,3.4343
3.7114,0.0573,0.0,0.0315,0.1515,13.4349,0.0,567.5827,1.1444,-804.2106,0.0024,13.4349,3.5567
3.6477,0.0252,2.961,-0.0415,1.2228,0.0,0.0,392.843,-0.2321,150.1354,-0.0063,0.0,3.6189
3.7645,0.018,0.0,-0.0302,1.3265,13.7313,1.04,427.6677,-1.6245,-132.2263,-0.0029,13.7313,3.6095
3.7699,0.0769,0.0,0.0447,0.3138,13.8424,0.1667,550.249,1.1077,-542.1313,0.0057,13.8424,3.5848
3.7306,0.0092,0.0,-0.0069,1.3379,0.0,1.4422,666.799,0.2766,280.15,-0.0027,0.0,3.5479
3.7255,0.1042,0.0,-0.0074,0.6986,0.0,0.1667,508.7218,0.6004,-1798.8207,0.0005,0.0,3.5591
3.7455,0.06,2.7948,0.1443,1.2692,0.0,1.1186,15853.7853,2.1065,144.748,0.0062,0.0,3.3919
3.4649,-0.0039,0.0,0.1323,0.0571,0.0,0.0,4000291.116,-0.3662,-462.9971,0.0069,0.0,3.3302
3.8162,-0.1757,0.0,0.1676,2.0317,0.0,3.1754,494.3406,-2.9502,-264.0724,0.0293,0.0,3.6116
3.6477,-0.0025,2.941,-0.1288,1.0719,0.0,1.1906,4000380.578,0.3109,-333.4326,-0.0075,0.0,3.6477
3.755,-0.1639,0.0,-0.1577,0.3597,0.0,5.2262,4000328.14,-1.1363,-66.0663,-0.0039,0.0,3.7537
3.8024,-0.0925,0.0,-0.0035,0.7738,0.0,0.1429,339.9909,-1.0695,-269.9815,0.005,0.0,3.5843
3.8165,-0.0123,0.0,-0.0508,1.9706,0.0,0.0,572.4852,-1.6344,-289.94,-0.0046,0.0,3.6877
3.7401,-0.0516,0.0,-0.1701,0.7249,0.0,1.04,438.3257,-0.8995,68.5294,-0.008,0.0,3.6856
3.7422,-0.0416,0.0,0.1553,1.1759,13.9086,0.9655,731.7658,-1.0777,324.4869,0.0112,13.9086,3.6906
3.6856,-0.0533,3.0966,-0.1584,0.6574,0.0,0.7211,478.7333,-0.8765,-39.3818,-0.0039,0.0,3.6047
3.7879,-0.1309,0.0,0.1534,2.5993,0.0,0.0,699.9211,-0.1879,1877.8243,0.019,0.0,3.5845
3.6411,-0.0295,2.8854,-0.0852,2.3511,0.0,0.0909,530.0691,0.6795,-68.0871,-0.0039,0.0,3.3757
3.7277,0.0488,2.9874,0.027,2.4744,13.6164,2.5896,337.6612,-1.1672,404.8516,0.0055,13.6164,3.696
3.751,-0.0432,0.0,-0.058,0.6063,13.7187,1.04,574.511,-1.1033,-585.283,-0.0062,13.7187,3.6206
3.776,0.0466,0.0,0.0154,1.064,0.0,0.8255,451.9878,-0.0961,-384.9289,-0.0031,0.0,3.613
3.6214,-0.1317,0.0,-0.3411,0.1901,0.0,0.3333,661.9721,-0.9293,-171.2014,-0.0049,0.0,3.4498
3.7379,-0.0974,0.0,-0.1872,2.6014,0.0,0.0909,485.0251,-3.7713,-812.8917,-0.0099,0.0,3.4276
3.6185,0.0435,0.0,0.1178,3.8724,12.7537,0.0909,409.384,-1.3936,-480.4053,0.037,38.2612,3.3934
3.7607,-0.0452,3.3745,0.4062,2.188,0.0,1.6837,871.6207,-3.2749,-970.5667,0.0196,0.0,3.5076
3.7504,-0.0709,2.9523,-0.0482,0.9645,0.0,0.4827,754.725,-0.191,190.9334,-0.0047,0.0,3.5175
3.6477,0.0013,2.6663,0.0142,0.2706,0.0,2.4069,587.8335,-0.0253,-262.855,-0.0015,0.0,3.4287
3.8043,0.0219,0.0,-0.0815,-0.2293,0.0,0.3333,1086.6615,0.742,71.3475,0.003,0.0,3.4481
3.688,-0.1987,3.2585,0.1506,0.6353,0.0,0.7663,4000426.093,-3.6717,-856.9672,0.006,0.0,3.6576
3.7303,-0.0707,3.1837,-0.138,0.4219,0.0,1.8948,455.4472,-0.254,203.1314,-0.0035,0.0,3.3946
3.6745,-0.1081,0.0,-0.1653,-0.2078,0.0,1.3896,4000342.715,-1.81,-620.4983,-0.0283,0.0,3.615
3.7669,0.0265,0.0,0.0524,1.3783,0.0,0.0,3000327.091,-3.1976,-602.4323,0.009,0.0,3.5085
3.5722,-0.0121,0.0,-0.0534,1.1043,0.0,0.1429,3734.9915,-1.9758,-897.6771,-0.0054,0.0,3.437
3.891,-0.0194,0.0,0.055,0.8086,0.0,0.3333,442.6531,0.1871,-240.5675,0.0064,0.0,3.5446
3.7429,-0.0666,0.0,0.0643,0.6556,13.5145,0.9655,731.7658,-1.7714,-139.462,0.0088,41.2636,3.6954
3.7989,0.159,0.0,-0.0462,0.6649,0.0,0.8255,598.9589,0.4452,-297.1925,-0.0045,0.0,3.5898
3.6264,-0.1394,0.0,0.2103,-0.4132,0.0,0.0,4000403.634,-0.6655,-864.4577,0.0221,0.0,3.5365
3.8938,0.0188,0.0,0.0704,1.4803,0.0,0.0,3000427.945,-2.6596,-301.8128,0.009,0.0,3.5654
3.804,0.1174,0.0,-0.0345,0.9564,0.0,0.8255,622.006,-0.0558,-207.282,-0.0035,0.0,3.6038
3.4701,0.1212,3.0722,0.1461,0.916,0.0,0.1667,4000325.605,-0.1804,-101.1679,0.0071,0.0,3.3576
3.7669,-0.0143,0.0,-0.0269,0.3652,0.0,0.0,2587.374,0.7759,520.7024,-0.0011,0.0,3.5637
3.7839,-0.0943,3.3455,-0.0437,1.7855,0.0,0.0,1050.0848,-2.2809,-239.561,-0.0041,0.0,3.5594
3.6104,-0.0204,0.0,-0.0771,1.5007,0.0,0.0,2000439.463,-0.4529,450.8606,-0.0113,0.0,3.5368
3.7656,-0.0651,0.0,-0.0662,0.5856,0.0,1.04,425.3918,0.2328,482.1518,-0.0078,0.0,3.4671
3.6518,-0.0315,3.121,-0.2587,-0.0158,0.0,0.0,2000256.078,0.3993,-665.9427,-0.025,0.0,3.2313
3.735,-0.045,2.8748,-0.1494,1.87,0.0,0.0,590.9346,-2.3623,-151.301,-0.0084,0.0,3.4226
3.6949,0.0172,2.5329,-0.0642,2.5838,0.0,3.1713,19000211.14,0.3035,-56.9636,-0.0051,0.0,3.6856
3.7365,-0.0058,2.8368,0.0213,1.665,0.0,0.0,11975.184,-0.5615,-180.7936,-0.0007,0.0,3.451
3.6514,0.3042,2.7628,0.0398,0.697,14.4261,1.4422,341.6003,1.5964,-164.2051,0.0037,14.4261,3.4861
3.8101,-0.0095,2.9321,0.0832,1.3369,13.9295,0.1111,400.6836,-1.2542,360.2445,0.007,13.9295,3.6626
3.7934,0.0234,0.0,0.0291,0.428,0.0,0.0,523.1938,-0.3654,-125.0883,-0.0017,0.0,3.5954
3.7385,0.0831,3.0293,-0.0259,1.8764,0.0,0.0,507.8402,-1.351,-154.3988,-0.0003,0.0,3.3687
3.7724,-0.0278,0.0,-0.0749,1.2083,0.0,1.449,423.7486,-0.3537,385.9466,-0.0081,0.0,3.623
3.7382,-0.0391,0.0,-0.0145,1.3735,0.0,0.9655,920.9621,-0.3939,583.2665,-0.0004,0.0,3.6904
3.7192,0.0744,0.0,0.0579,0.4291,0.0,0.1667,523.7944,0.5775,-710.4024,0.0025,0.0,3.5612
3.823,-0.0661,3.0446,-0.0162,1.2607,0.0,0.8255,465.1263,-0.3652,1142.202,-0.0006,0.0,3.5287
4.0197,-0.0201,2.7478,-0.2153,3.2127,0.0,0.7081,707.9731,-4.8343,-1275.4429,-0.0089,0.0,3.7402
3.772,0.0956,0.0,0.0396,0.4129,0.0,0.1667,768.8704,0.873,-518.6929,0.0026,0.0,3.5894
3.7361,0.0676,0.0,0.0794,-0.1721,0.0,0.1667,612.4788,0.9366,-711.7772,0.0052,0.0,3.5717
3.705,-0.0875,3.8442,-0.0284,0.8192,0.0,0.1667,339.7268,0.4754,-44.3015,0.0003,0.0,3.6402
3.4596,-0.0514,3.059,-0.1425,1.2684,0.0,0.0,491.0387,-1.0109,-189.5077,-0.0109,0.0,3.3275
3.63,0.096,3.0398,-0.1131,0.7823,0.0,0.5,991.1594,0.6672,-76.2275,-0.008,0.0,3.5777
3.6063,-0.0186,0.0,-0.2239,-0.1882,0.0,0.0,376.5958,2.2041,-397.203,-0.0295,0.0,3.2494
3.7826,-0.0689,0.0,-0.0117,1.2433,0.0,0.1429,321.7178,-1.3213,-471.6733,0.0023,0.0,3.5659
3.7321,-0.0766,0.0,-0.0837,0.6176,0.0,0.1429,293.543,-0.8804,-328.9608,-0.0048,0.0,3.534
3.737,0.0011,0.0,-0.0862,0.7514,0.0,1.04,633.3048,-1.2345,-502.6667,-0.0065,0.0,3.6324
3.6499,-0.1849,3.0346,-0.043,5.5119,13.4336,1.228,564.7534,-3.1062,-488.5075,-0.0154,40.3007,3.4437
3.7975,0.0473,2.9542,0.1738,1.7486,0.0,0.1111,400.6836,-0.4179,837.4589,0.0087,0.0,3.6572
3.918,0.0087,0.0,0.067,1.4691,0.0,0.6507,1208.9176,-0.6979,343.9134,0.0078,0.0,3.6607
3.8036,-0.0071,2.7963,0.041,1.2842,13.2929,0.1111,400.6836,-1.306,321.755,0.0066,27.204,3.6585
3.6643,0.0301,0.0,-0.0346,-0.0548,13.2617,0.0,306.6682,0.4499,-268.5548,-0.0037,13.2617,3.5252
3.727,-0.1322,3.418,0.0463,1.775,0.0,2.1675,830.195,-0.2445,1319.3311,-0.0007,0.0,3.4999
3.7786,0.0199,0.0,0.0284,1.2504,0.0,0.0,497.4098,-1.0017,-593.5612,0.0034,0.0,3.6775
3.5948,-0.1177,0.0,0.0078,0.8671,13.3832,1.04,527.0782,-1.0469,142.4397,-0.0072,13.3832,3.4849
3.6403,0.0547,2.9777,-0.1268,0.35,0.0,0.1,395.5583,0.2024,-668.8608,-0.0078,0.0,3.537
3.749,-0.1137,0.0,-0.0123,0.1003,0.0,0.0,376.404,0.547,601.4014,-0.0031,0.0,3.6597
3.774,-0.0854,2.9762,-0.0176,1.0665,0.0,1.0837,408.5032,-1.2963,74.8645,-0.002,0.0,3.5057
3.6945,0.0491,2.7313,-0.0677,0.6858,0.0,0.1667,4000441.155,-1.3202,-663.392,0.0044,0.0,3.6634
3.4155,0.074,3.2553,-0.0882,8.0091,12.5667,0.2,344.9564,-2.5511,-972.4159,-0.0146,37.7,3.3047
2.9788,-0.1036,2.5747,-0.0997,0.8705,0.0,3.686,103.8218,0.44,247.6892,-0.0086,0.0,2.9242
3.6844,-0.0495,2.808,-0.0577,0.9377,0.0,1.8369,775.8406,-1.5272,-657.8817,-0.0029,0.0,3.4181
3.539,0.0725,3.2645,0.0039,0.5728,0.0,1.9996,486.3608,-0.7087,-387.3208,0.0059,0.0,3.3987
3.0658,-0.0366,0.0,-0.2295,0.9071,0.0,1.651,346.0006,-0.4238,-281.2721,-0.0241,0.0,2.6091
3.0841,-0.1479,0.0,-0.2995,0.5832,0.0,1.651,346.0006,-0.3421,-354.5965,-0.0165,0.0,2.6186
3.7301,-0.0985,2.9987,-0.1683,1.6775,0.0,0.8143,733.7819,0.0664,334.3018,-0.0179,0.0,3.6422
3.629,0.0277,2.7089,0.0798,1.1347,13.3843,0.6694,442.2069,-1.9224,-753.6548,0.0124,13.3843,3.4718
3.4714,0.0153,2.9312,-0.0219,1.9549,0.0,0.6552,448.0882,-1.8659,-1201.3725,-0.0025,0.0,3.3625
3.7154,-0.0361,2.5827,0.0143,2.8556,0.0,0.1667,2632.3067,-0.5132,-243.6917,0.01,0.0,3.5493
3.714,0.0019,2.6194,-0.0972,5.9997,13.1886,0.0,719.5324,-3.4322,-1078.8775,-0.0053,39.5659,3.4802
3.6124,0.1464,2.6827,-0.0401,1.6377,13.5582,1.5941,1486.9985,0.473,-224.6956,0.0004,13.5582,3.4625
3.553,0.0749,0.0,-0.1247,5.3474,13.3548,0.0,302.5161,-1.0296,161.3187,-0.02,40.0644,3.3267
3.5946,-0.0685,3.1259,-0.0972,0.6147,0.0,2.2496,490.8239,0.6955,221.1707,-0.0064,0.0,3.4535
3.613,-0.0576,3.1036,-0.0573,1.3125,0.0,2.2496,1679.8131,-0.2842,-32.4622,-0.0038,0.0,3.487
3.6138,-0.0858,3.0987,-0.1359,0.8131,0.0,2.2496,424.3157,-1.2373,-44.1729,-0.0096,0.0,3.4916
3.6115,-0.0622,3.0661,-0.0559,0.8703,0.0,2.2496,5236.7149,-0.2423,-219.736,-0.004,0.0,3.4851
3.684,-0.1034,0.0,-0.0019,0.7359,0.0,0.7211,543.1782,-0.1338,319.6617,-0.0039,0.0,3.5131
3.4701,-0.2151,0.0,0.0201,2.2667,0.0,0.5,249.8332,-0.3562,391.7823,0.0005,0.0,3.3873
3.6601,-0.0597,3.7277,-0.0127,0.7313,0.0,0.5,2026.8843,0.3913,363.8022,-0.0031,0.0,3.2789
3.5132,-0.1258,2.9301,-0.1143,2.5237,0.0,0.25,445.0896,-1.5335,-1308.1451,-0.0161,0.0,3.3507
3.5181,0.1095,2.9356,-0.0388,0.7734,0.0,0.125,380.4846,0.6283,-150.07,0.0009,0.0,3.3715
3.8129,-0.0086,3.4039,-0.1043,1.1276,0.0,3.7893,439.7182,-0.663,-619.7772,-0.008,0.0,3.6342
3.1123,0.2409,0.0,0.1639,0.3883,0.0,1.04,223.1215,-0.7462,-614.1096,0.0062,0.0,2.9267
3.723,0.0066,0.0,-0.0116,0.5225,0.0,0.0,427.4269,0.5471,-1204.9781,-0.0039,0.0,3.5081
3.7205,0.011,0.0,-0.0387,0.0653,13.8288,0.0,507.7047,0.7627,128.4153,-0.0033,13.8288,3.4748
3.6676,-0.0121,0.0,-0.0341,0.4737,14.3019,0.0,427.4269,0.4762,-982.6006,-0.0049,14.3019,3.5056
3.0407,-0.065,2.6348,-0.1287,0.9448,0.0,3.1473,100.6868,0.2401,302.9715,-0.0172,0.0,2.838
3.4256,-0.0691,2.6996,0.0314,1.1347,0.0,0.0,734.5188,-0.5569,-436.9548,0.0089,0.0,3.3555
3.692,0.1463,2.753,-0.0749,1.5764,0.0,2.0729,491.7315,0.2681,-272.2523,-0.0001,0.0,3.4904
3.6181,0.0347,2.7403,-0.1726,2.195,0.0,1.0047,454.4421,1.4119,625.9743,-0.0229,0.0,3.4321
2.9822,0.4715,0.0,0.0619,4.3076,12.457,0.0,125.2257,-2.1493,-342.0825,0.0219,37.3709,2.4746
